2026-03-19 10:08:48 [main] INFO  utils.Log - Loaded JDBC driver: org.hsqldb.jdbcDriver
2026-03-19 10:08:49 [main] INFO  utils.Log - Initializing browser setup...
2026-03-19 10:08:49 [main] INFO  utils.Log - Launching Chrome browser...
2026-03-19 10:08:51 [main] INFO  utils.Log - Navigating to: http://localhost:8080/parabank/index.htm
2026-03-19 10:08:52 [main] INFO  utils.Log - Browser setup completed.
2026-03-19 10:08:52 [main] INFO  utils.Log - ====================== STARTING SCENARIO ======================
2026-03-19 10:08:52 [main] INFO  utils.Log - Scenario: Customer should be able to create a checking account
2026-03-19 10:08:52 [main] INFO  utils.Log - Tags: @UI, @smokeAccSer
2026-03-19 10:08:52 [main] INFO  utils.Log - ===============================================================
2026-03-19 10:08:53 [main] INFO  utils.Log - Enter login credentials and clicked login successfully
2026-03-19 10:08:54 [main] INFO  utils.Log - Successfully clicked and navigated to open account page
2026-03-19 10:08:55 [main] INFO  utils.Log - Verified customer is on the Open New Account page
2026-03-19 10:08:55 [main] INFO  utils.Log - Customer successfully selected Checking account from dropdown
2026-03-19 10:08:56 [main] INFO  utils.Log - Successfully selected the deposit account
2026-03-19 10:08:56 [main] INFO  utils.Log - Customer has successfully clicked button
2026-03-19 10:08:56 [main] INFO  utils.Log - Customer has successfully created new checking account
2026-03-19 10:08:56 [main] INFO  utils.Log - ====================== ENDING SCENARIO ======================
2026-03-19 10:08:56 [main] INFO  utils.Log - Scenario Status: PASSED
2026-03-19 10:08:56 [main] INFO  utils.Log - =============================================================
2026-03-19 10:09:01 [main] INFO  utils.Log - Tearing down the browser...
2026-03-19 10:09:01 [main] INFO  utils.Log - Browser teardown completed.
